Name;Value;Frequency;ChiPrimeMol;ChiBisMol;FrequencyModel;ChiPrimeModel;ChiBisModel
T;3.5;1.00057637691498;2.93024638848732;0.01969814585719484;1.00057637691498;1.3379170386000157;0.21984986632173653
H;-0.0;1.30083453655243;2.94096190607968;0.0305992174024808;8.742349920850819;0.6725592623198757;0.001149519745740838
alpha;0.617329;1.70109140872955;2.9350092650733997;0.0407709202144616;16.484123464786656;0.6706787451677498;2.2868946472393175e-06
beta;0.911991;2.22107553482056;2.9274314475009198;0.052011318848797394;24.225897008722495;0.6706750074413285;4.543868906329724e-09
tau;-1.440686;2.90091037750244;2.92849587950046;0.0700791295617956;31.967670552658333;0.6706750000147853;9.028276029641014e-12
chiT;1.482146;3.79571866989136;2.9320779239057395;0.09595416622982078;39.70944409659417;0.6706750000000294;1.79384065924854e-14
chiS;0.670675;4.92219018936157;2.9194956773753997;0.12013045066807379;47.451217640530004;0.6706750000000001;3.564206832182877e-17
;;6.42475366592407;2.9138474930008798;0.1596209092799132;55.192991184465846;0.670675;7.081771882626781e-20
;;8.4070463180542;2.91765314406834;0.21518944453494;62.93476472840168;0.670675;1.407087056360559e-22
;;10.9381999969482;2.8983642732904804;0.267954618641606;70.67653827233752;0.670675;2.795760746028166e-25
;;14.2939481735229;2.8699909800146;0.340787824784108;78.41831181627336;0.670675;5.554935718937557e-28
;;18.6082801818848;2.82398480353022;0.42623090892658;86.1600853602092;0.670675;1.1037178658927222e-30
;;24.2203006744385;2.75225012324686;0.521176950800028;93.90185890414503;0.670675;2.192992302931267e-33
;;31.6244335174561;2.64611551525366;0.6198025671672039;101.64363244808087;0.670675;4.3572867571784716e-36
;;41.2399711608887;2.51747740977682;0.713443031936852;109.38540599201671;0.670675;8.657553361635407e-39
;;53.7754707336426;2.3590289643802;0.7941224722884759;117.12717953595255;0.670675;1.7201812592683229e-41
;;70.1553497314453;2.1855795250266;0.856224965676158;124.86895307988839;0.670675;3.4178519509338076e-44
;;91.609992980957;1.998700459619272;0.8936127060724641;132.61072662382423;0.670675;6.790977343556805e-47
;;119.384170532227;1.8114117544988622;0.906194303681534;140.35250016776007;0.670675;1.34930868694009e-49
;;155.751602172852;1.6239653177572781;0.8936382197056159;148.0942737116959;0.670675;2.680960104187963e-52
;;203.027557373047;1.4466524099838178;0.861750831695032;155.83604725563174;0.670675;5.326836734852185e-55
;;264.651092529297;1.2813535192086518;0.81469562174303;163.57782079956758;0.670675;1.0583965630613086e-57
;;345.685852050781;1.129725245164246;0.7587361927852859;171.3195943435034;0.670675;2.102942779099603e-60
;;451.068145751953;0.9973154175299879;0.699892629359296;179.06136788743925;0.670675;4.1783661120137155e-63
;;588.290649414062;0.883751249758796;0.6415276554095939;186.80314143137508;0.670675;8.30205345553899e-66
;;767.436157226563;0.7533885024688961;0.57586258005678;194.54491497531092;0.670675;1.6495464909227324e-68
;;;;;202.28668851924675;0.670675;3.277506752139849e-71
;;;;;210.02846206318262;0.670675;6.512123525729213e-74
;;;;;217.77023560711845;0.670675;1.2939028359489882e-76
;;;;;225.5120091510543;0.670675;2.5708734520501326e-79
;;;;;233.25378269499012;0.670675;5.1081040421467466e-82
;;;;;240.99555623892596;0.670675;1.0149362616268957e-84
;;;;;248.7373297828618;0.670675;2.016590904699481e-87
;;;;;256.47910332679766;0.670675;4.00679237767889e-90
;;;;;264.2208768707335;0.670675;7.961151228250032e-93
;;;;;271.9626504146693;0.670675;1.5818121555822767e-95
;;;;;279.70442395860516;0.670675;3.142924463824948e-98
;;;;;287.446197502541;0.670675;6.244720114490298e-101
;;;;;295.18797104647683;0.670675;1.2407720820900232e-103
;;;;;302.92974459041267;0.670675;2.4653072218910097e-106
;;;;;310.6715181343485;;
;;;;;318.41329167828434;;
;;;;;326.1550652222202;;
;;;;;333.896838766156;;
;;;;;341.63861231009184;;
;;;;;349.3803858540277;;
;;;;;357.1221593979635;;
;;;;;364.86393294189935;;
;;;;;372.6057064858352;;
;;;;;380.347480029771;;
;;;;;388.08925357370686;;
;;;;;395.8310271176427;;
;;;;;403.5728006615785;;
;;;;;411.31457420551436;;
;;;;;419.05634774945025;;
;;;;;426.7981212933861;;
;;;;;434.5398948373219;;
;;;;;442.28166838125776;;
;;;;;450.0234419251936;;
;;;;;457.76521546912943;;
;;;;;465.50698901306527;;
;;;;;473.2487625570011;;
;;;;;480.99053610093694;;
;;;;;488.73230964487277;;
;;;;;496.4740831888086;;
;;;;;504.21585673274444;;
;;;;;511.9576302766803;;
;;;;;519.6994038206161;;
;;;;;527.441177364552;;
;;;;;535.1829509084878;;
;;;;;542.9247244524237;;
;;;;;550.6664979963595;;
;;;;;558.4082715402953;;
;;;;;566.1500450842311;;
;;;;;573.891818628167;;
;;;;;581.6335921721028;;
;;;;;589.3753657160387;;
;;;;;597.1171392599745;;
;;;;;604.8589128039104;;
;;;;;612.6006863478461;;
;;;;;620.342459891782;;
;;;;;628.0842334357178;;
;;;;;635.8260069796537;;
;;;;;643.5677805235895;;
;;;;;651.3095540675254;;
;;;;;659.0513276114611;;
;;;;;666.793101155397;;
;;;;;674.5348746993329;;
;;;;;682.2766482432687;;
;;;;;690.0184217872046;;
;;;;;697.7601953311404;;
;;;;;705.5019688750763;;
;;;;;713.243742419012;;
;;;;;720.9855159629479;;
;;;;;728.7272895068837;;
;;;;;736.4690630508196;;
;;;;;744.2108365947554;;
;;;;;751.9526101386913;;
;;;;;759.6943836826271;;
;;;;;767.436157226563;;
